Index       V(G)             I(VDS)      
151      1.51000000e+00   -5.20200001e-04
152      1.52000000e+00   -5.30400001e-04
153      1.53000000e+00   -5.40600001e-04
154      1.54000000e+00   -5.50800001e-04
155      1.55000000e+00   -5.61000001e-04
156      1.56000000e+00   -5.71200001e-04
157      1.57000000e+00   -5.81400001e-04
158      1.58000000e+00   -5.91600001e-04
159      1.59000000e+00   -6.01800001e-04
160      1.60000000e+00   -6.12000001e-04
161      1.61000000e+00   -6.22200001e-04
162      1.62000000e+00   -6.32400001e-04
163      1.63000000e+00   -6.42600001e-04
164      1.64000000e+00   -6.52800001e-04
165      1.65000000e+00   -6.63000001e-04
166      1.66000000e+00   -6.73200001e-04
167      1.67000000e+00   -6.83400001e-04
168      1.68000000e+00   -6.93600001e-04
169      1.69000000e+00   -7.03800001e-04
170      1.70000000e+00   -7.14000001e-04
171      1.71000000e+00   -7.24200001e-04
172      1.72000000e+00   -7.34400001e-04
173      1.73000000e+00   -7.44600001e-04
174      1.74000000e+00   -7.54800001e-04
175      1.75000000e+00   -7.65000001e-04
176      1.76000000e+00   -7.75200001e-04
177      1.77000000e+00   -7.85400001e-04
178      1.78000000e+00   -7.95600001e-04
179      1.79000000e+00   -8.05800001e-04
180      1.80000000e+00   -8.16000001e-04
End of Xyce(TM) Simulation
